


2025-02-21,WCSOPA ,25,Joliet Team Sleepover,Other,3,Debit
2025-02-21,Malak,106,Bday Money,Other,3,Debit
2025-02-22,RBC Life Insurance,74.95,Kevin Insurance,Other,4,PCF MC
2025-02-22,Deka RONA,28.78,Water Softener Salt,Food,4,PCF MC
2025-02-22,IKEA,25.97,A Hamper & Glasses,Other,4,PCF MC
2025-02-22,St. Michael Parish,10,Offertory,Other,4,PCF MC
2025-02-22,Carp Foodliner,13.47,Sour Cream; Treats,Other,4,PCF MC
2025-02-23,Village Pizza,100.57,Amara Bday Supper,Food,4,PCF MC
2025-02-23,Digital Carnage,16.06,Renew,Other,4,VISA
2025-02-23,IKEA,2.09,Water,Other,4,PCF MC
2025-02-25,Shell,68.15,Gas - Car,Gas,4,PCF MC
2025-02-25,Google Premium,25.98,Youtube Premium Bill,Other,4,PCF MC
2025-02-25,Enbridge,219.5,Gas Bill,Other,4,Debit
2025-02-25,Sobeys,83.47,Groceries,Other,4,PCF MC
2025-02-25,Voila Gluten-Free Bakeree,26,Amara Bday Treats,Other,4,PCF MC
2025-02-25,Shoppers Drug Mart,8.24,Melissa Face Lotion,Other,4,PCF MC
2025-02-25,Canadian Tire,51.48,Frying Pans (2),Other,4,PCF MC
2025-02-26,Sobeys,18.05,Stroopwafels; Cheese,Other,4,PCF MC
2025-02-27,Celiac Canada,20,50-50 Draw Tickets,Other,4,PCF MC
2025-02-28,Costco,245.8,Groceries; Fruit,Other,4,PCF MC
2025-02-28,Loblaws,89.95,Groceries; Makeup Remover,Other,4,PCF MC
2025-03-01,Joliet,20,March Money,Other,1,Debit
2025-03-01,Palladium Orthodontics,152.5,Amara Braces 10 (305),Other,1,CIBC MC
2025-03-01,Kanata Learning Centre,45,Amara & Linden Tutoring (450),Other,1,PCF MC
2025-03-01,Brio,232.71,J Jewelry; Jazz Shoes; Bodysuit,Other,1,CIBC MC
2025-03-01,ESSO,71.5,Gas - Van,Gas,1,PCF MC
2025-03-01,MEC,4.14,Parking,Other,1,PCF MC
2025-03-02,Koodo,11.3,Streaming Bill,Other,1,CIBC MC
2025-03-03,1818 Farm and Cidery,50,Veggie Box Deposit,Other,1,PCF MC
2025-03-04,WCSOPA,40,Comp. Showcase Tickets,Other,1,Debit
2025-03-04,Kanata Periodontics,142.5,A. Consult/Frenectomy (579),Other,1,PCF MC
2025-03-04,Shoppers Drug Mart,11.84,Eggs; Brown Beans & Pop,Other,1,PCF MC
2025-03-05,Bobbi Coady,40,Amara Tutoring,Other,1,Debit
2025-03-05,March Road Pet Food,81.74,Triton Nails; Tippy Food & Litter,Other,1,PCF MC
2025-03-05,Grobox.ca,517.54,2 Modular Garden Kits,Other,1,CIBC MC
2025-03-05,abNZB,22.36,Annual indexer fee,Other,1,VISA
2025-03-05,Sobeys,15.07,GF Oreos & Tomato Soup,Other,1,CIBC MC
2025-03-06,Kanata Hyundai,162.64,Type 1 service (incl oil change),Other,1,CIBC MC
2025-06-06,ESSO,58.74,Gas - Car,Gas,1,PCF MC
2025-06-07,Walmart,98.04,C. Iron; Lens Solution; Groceries,Other,1,CIBC MC
2025-03-07,Healthy Planet,63.66,"GF Bread, Flour & Hand Soap",Other,1,CIBC MC
